ScientificName,AphiaID,Status,kingdom,phylum,subphylum,infraphylum,parvphylum,gigaclass,superclass,class,subclass,order,superorder,suborder,infraorder,family,subfamily,superfamily,genus,subgenus,species
Synagrops japonicus,367291,Found,,,,,,,,,,,,,,,,,,,
Psenopsis obscura,219740,Found,,,,,,,,,,,,,,,,,,,
Chlorophthalmus actifrons,400341,Found,,,,,,,,,,,,,,,,,,,
Polymixia fusca,274319,Found,,,,,,,,,,,,,,,,,,,
Hoplostethus melanopus,217893,Found,,,,,,,,,,,,,,,,,,,
Alepocephalus blanfordii,272841,Found,,,,,,,,,,,,,,,,,,,
Narcetes stomias,126706,Found,,,,,,,,,,,,,,,,,,,
Lamprogrammus niger,126672,Found,,,,,,,,,,,,,,,,,,,
Aphanopus microphthalmus,219700,Found,,,,,,,,,,,,,,,,,,,
Bathyuroconger vicinus,126284,Found,,,,,,,,,,,,,,,,,,,
Bathypterois atricolor,221394,Found,,,,,,,,,,,,,,,,,,,
Gephyroberys darwinii,400861,Found,,,,,,,,,,,,,,,,,,,
Saurida tumbil,217663,Found,,,,,,,,,,,,,,,,,,,
Grammoplites suppositus,218139,Found,,,,,,,,,,,,,,,,,,,
Rexea prometheoides,219695,Found,,,,,,,,,,,,,,,,,,,
Beryx splendens,126395,Found,,,,,,,,,,,,,,,,,,,
Atrobucca nibe,218637,Found,,,,,,,,,,,,,,,,,,,
Nemipterus japonicus,218515,Found,,,,,,,,,,,,,,,,,,,
Pterygotrigla hemistica,401103,Found,,,,,,,,,,,,,,,,,,,
Bembrops caudimacula,219141,Found,,,,,,,,,,,,,,,,,,,
Neoepinnula orientalis,159713,Found,,,,,,,,,,,,,,,,,,,
Physiculus roseus,272512,Found,,,,,,,,,,,,,,,,,,,
Trichurus lepturus,403112,Found,,,,,,,,,,,,,,,,,,,
Hoplostethus rubellopterus,272237,Found,,,,,,,,,,,,,,,,,,,
Satyrichthys milleri,835135,Found,,,,,,,,,,,,,,,,,,,
Ostracoberx dorygenys,401393,Found,,,,,,,,,,,,,,,,,,,
Cubiceps baxteri,219745,Found,,,,,,,,,,,,,,,,,,,
Chlorophthalmus corniger,272056,Found,,,,,,,,,,,,,,,,,,,
Diretmoides veriginae,272205,Found,,,,,,,,,,,,,,,,,,,
Alepocephalus bicolor,272840,Found,,,,,,,,,,,,,,,,,,,
Lamprogrammus fragilis,272803,Found,,,,,,,,,,,,,,,,,,,
Coloconger raniceps,217539,Found,,,,,,,,,,,,,,,,,,,
Xenomystax trucidans,,Not Found,,,,,,,,,,,,,,,,,,,
Bathyclupea elongata,221415,Found,,,,,,,,,,,,,,,,,,,
Talismania longifilis,217604,Found,,,,,,,,,,,,,,,,,,,
Gavialiceps taeniola,280823,Found,,,,,,,,,,,,,,,,,,,
Psenopsis cyanea,219738,Found,,,,,,,,,,,,,,,,,,,
